[2018-08-25 23:27:51] [INFO   ] discord.client: logging in using static token
[2018-08-25 23:30:18] [INFO   ] cogs.stats: 2018-08-25 20:30:19.682000: DepressedGiraffe#9265 in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:18] [INFO   ] __main__: 2018-08-25 20:30:19.853000: DepressedGiraffe in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:18] [INFO   ] cogs.stats: 2018-08-25 20:30:19.853000: DepressedGiraffe#9265 in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:30:38] [INFO   ] __main__: 2018-08-25 20:30:39.448000: Snoggyy in #paskalaari (Autismin aarrearkku): .emboss
[2018-08-25 23:30:38] [INFO   ] cogs.stats: 2018-08-25 20:30:39.448000: Snoggyy#2110 in #paskalaari (Autismin aarrearkku): .emboss
[2018-08-25 23:31:13] [INFO   ] __main__: 2018-08-25 20:31:15.038000: iWeeti in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:31:13] [INFO   ] cogs.stats: 2018-08-25 20:31:15.038000: iWeeti#4990 in #testing-1 (Discord Bot List): -.edge
[2018-08-25 23:31:26] [INFO   ] __main__: 2018-08-25 20:31:27.818000: iWeeti in #testing-1 (Discord Bot List): -.emboss
[2018-08-25 23:31:26] [INFO   ] cogs.stats: 2018-08-25 20:31:27.818000: iWeeti#4990 in #testing-1 (Discord Bot List): -.emboss
[2018-08-25 23:31:51] [INFO   ] __main__: 2018-08-25 20:31:52.969000: iWeeti in #testing-1 (Discord Bot List): -.rotate -123
[2018-08-25 23:31:51] [INFO   ] cogs.stats: 2018-08-25 20:31:52.969000: iWeeti#4990 in #testing-1 (Discord Bot List): -.rotate -123
[2018-08-25 23:31:56] [INFO   ] __main__: 2018-08-25 20:31:57.103000: Ceciel in #paskalaari (Autismin aarrearkku): .emboss
[2018-08-25 23:31:56] [INFO   ] cogs.stats: 2018-08-25 20:31:57.103000: Ceciel#5140 in #paskalaari (Autismin aarrearkku): .emboss
[2018-08-25 23:32:39] [INFO   ] cogs.emoji: Server MaZWaN M&W has added 1 emojis.
[2018-08-25 23:33:02] [INFO   ] cogs.emoji: Server MaZWaN M&W has added 1 emojis.
[2018-08-25 23:35:15] [INFO   ] cogs.emoji: Server MaZWaN M&W has added 1 emojis.
[2018-08-25 23:40:36] [INFO   ] __main__: 2018-08-25 20:40:37.652000: iWeeti in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:40:36] [INFO   ] cogs.stats: 2018-08-25 20:40:37.652000: iWeeti#4990 in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:40:39] [INFO   ] __main__: 2018-08-25 20:40:40.446000: Adrican's Alt in #bot-commands (Freezer Games): .money <@!429034660920557579>
[2018-08-25 23:40:39] [INFO   ] cogs.stats: 2018-08-25 20:40:40.446000: Adrican's Alt#2776 in #bot-commands (Freezer Games): .money <@!429034660920557579>
[2018-08-25 23:40:45] [INFO   ] __main__: 2018-08-25 20:40:46.182000: Adrican's Alt in #bot-commands (Freezer Games): .money
[2018-08-25 23:40:45] [INFO   ] cogs.stats: 2018-08-25 20:40:46.182000: Adrican's Alt#2776 in #bot-commands (Freezer Games): .money
[2018-08-25 23:40:46] [INFO   ] __main__: 2018-08-25 20:40:47.409000: iWeeti in #testing-1 (Discord Bot List): -.color 56 Putin
[2018-08-25 23:40:46] [INFO   ] cogs.stats: 2018-08-25 20:40:47.409000: iWeeti#4990 in #testing-1 (Discord Bot List): -.color 56 Putin
[2018-08-25 23:40:48] [INFO   ] __main__: 2018-08-25 20:40:49.732000: Adrican's Alt in #bot-commands (Freezer Games): .loot
[2018-08-25 23:40:48] [INFO   ] cogs.stats: 2018-08-25 20:40:49.732000: Adrican's Alt#2776 in #bot-commands (Freezer Games): .loot
[2018-08-25 23:41:14] [INFO   ] __main__: 2018-08-25 20:41:15.626000: iWeeti in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:41:14] [INFO   ] cogs.stats: 2018-08-25 20:41:15.626000: iWeeti#4990 in #testing-1 (Discord Bot List): -.reload image
[2018-08-25 23:41:17] [INFO   ] __main__: 2018-08-25 20:41:18.368000: Adrican's Alt in #bot-commands (Freezer Games): .slots
[2018-08-25 23:41:17] [INFO   ] cogs.stats: 2018-08-25 20:41:18.368000: Adrican's Alt#2776 in #bot-commands (Freezer Games): .slots
[2018-08-25 23:41:21] [INFO   ] __main__: 2018-08-25 20:41:22.151000: Adrican's Alt in #bot-commands (Freezer Games): .loot
